X,CH1
Second,Volt,
-1.08e-03,3.12e+00
-1.06e-03,3.04e+00
-1.04e-03,2.96e+00
-1.02e-03,3.04e+00
-1.00e-03,2.92e+00
-9.80e-04,2.96e+00
-9.60e-04,2.80e+00
-9.40e-04,3.04e+00
-9.20e-04,2.88e+00
-9.00e-04,2.88e+00
-8.80e-04,2.80e+00
-8.60e-04,2.84e+00
-8.40e-04,2.76e+00
-8.20e-04,2.68e+00
-8.00e-04,2.72e+00
-7.80e-04,2.76e+00
-7.60e-04,2.64e+00
-7.40e-04,2.64e+00
-7.20e-04,2.76e+00
-7.00e-04,2.68e+00
-6.80e-04,2.60e+00
-6.60e-04,2.60e+00
-6.40e-04,2.76e+00
-6.20e-04,2.56e+00
-6.00e-04,2.52e+00
-5.80e-04,2.56e+00
-5.60e-04,2.52e+00
-5.40e-04,2.44e+00
-5.20e-04,2.36e+00
-5.00e-04,2.44e+00
-4.80e-04,2.36e+00
-4.60e-04,2.24e+00
-4.40e-04,2.32e+00
-4.20e-04,2.24e+00
-4.00e-04,2.20e+00
-3.80e-04,2.08e+00
-3.60e-04,2.12e+00
-3.40e-04,2.20e+00
-3.20e-04,1.92e+00
-3.00e-04,1.88e+00
-2.80e-04,1.92e+00
-2.60e-04,1.76e+00
-2.40e-04,1.60e+00
-2.20e-04,1.68e+00
-2.00e-04,1.64e+00
-1.80e-04,1.44e+00
-1.60e-04,1.40e+00
-1.40e-04,1.36e+00
-1.20e-04,1.20e+00
-1.00e-04,1.08e+00
-8.00e-05,1.04e+00
-6.00e-05,9.60e-01
-4.00e-05,7.20e-01
-2.00e-05,7.20e-01
-2.10e-10,7.20e-01
2.00e-05,3.24e+00
4.00e-05,3.20e+00
6.00e-05,3.20e+00
8.00e-05,3.20e+00
1.00e-04,3.00e+00
1.20e-04,3.28e+00
1.40e-04,3.08e+00
1.60e-04,2.80e+00
1.80e-04,2.64e+00
2.00e-04,2.60e+00
2.20e-04,2.28e+00
2.40e-04,2.36e+00
2.60e-04,2.44e+00
2.80e-04,3.24e+00
3.00e-04,3.24e+00
3.20e-04,3.32e+00
3.40e-04,2.88e+00
3.60e-04,2.56e+00
3.80e-04,2.36e+00
4.00e-04,2.24e+00
4.20e-04,2.00e+00
4.40e-04,1.80e+00
4.60e-04,1.76e+00
4.80e-04,1.80e+00
5.00e-04,1.56e+00
5.20e-04,1.52e+00
5.40e-04,1.64e+00
5.60e-04,1.68e+00
5.80e-04,1.88e+00
6.00e-04,2.24e+00
6.20e-04,2.16e+00
6.40e-04,2.20e+00
6.60e-04,2.32e+00
6.80e-04,2.04e+00
7.00e-04,2.20e+00
7.20e-04,2.52e+00
7.40e-04,2.52e+00
7.60e-04,2.56e+00
7.80e-04,2.60e+00
8.00e-04,2.48e+00
8.20e-04,2.28e+00
8.40e-04,2.08e+00
8.60e-04,1.92e+00
8.80e-04,1.92e+00
9.00e-04,1.84e+00
9.20e-04,2.08e+00
9.40e-04,2.32e+00
9.60e-04,2.08e+00
9.80e-04,2.08e+00
1.00e-03,2.00e+00
1.02e-03,1.96e+00
1.04e-03,1.92e+00
1.06e-03,2.00e+00
1.08e-03,1.76e+00
1.10e-03,1.76e+00
1.12e-03,1.60e+00
1.14e-03,1.44e+00
1.16e-03,1.44e+00
1.18e-03,1.32e+00
1.20e-03,1.20e+00
1.22e-03,1.16e+00
1.24e-03,1.08e+00
1.26e-03,9.60e-01
1.28e-03,9.20e-01
1.30e-03,8.00e-01
1.32e-03,1.44e+00
1.34e-03,1.60e+00
1.36e-03,1.60e+00
1.38e-03,1.28e+00
1.40e-03,1.16e+00
1.42e-03,2.08e+00
1.44e-03,1.96e+00
1.46e-03,1.76e+00
1.48e-03,1.44e+00
1.50e-03,1.52e+00
1.52e-03,1.84e+00
1.54e-03,2.04e+00
1.56e-03,2.00e+00
1.58e-03,1.68e+00
1.60e-03,1.28e+00
1.62e-03,3.24e+00
1.64e-03,3.00e+00
1.66e-03,2.40e+00
1.68e-03,1.96e+00
1.70e-03,1.52e+00
1.72e-03,1.20e+00
1.74e-03,8.00e-01
1.76e-03,6.00e-01
1.78e-03,2.80e-01
1.80e-03,0.00e+00
1.82e-03,-1.60e-01
1.84e-03,-4.80e-01
1.86e-03,-7.20e-01
1.88e-03,3.16e+00
1.90e-03,3.28e+00
1.92e-03,3.28e+00
1.94e-03,3.24e+00
1.96e-03,3.04e+00
1.98e-03,2.40e+00
2.00e-03,1.92e+00
2.02e-03,1.88e+00
2.04e-03,3.24e+00
2.06e-03,3.28e+00
2.08e-03,2.84e+00
2.10e-03,2.24e+00
2.12e-03,1.72e+00
2.14e-03,1.24e+00
2.16e-03,7.60e-01
2.18e-03,4.00e-01
2.20e-03,0.00e+00
2.22e-03,-3.20e-01
2.24e-03,-3.60e-01
2.26e-03,-6.00e-01
2.28e-03,-7.60e-01
2.30e-03,-6.40e-01
2.32e-03,3.28e+00
2.34e-03,3.24e+00
2.36e-03,3.28e+00
2.38e-03,3.24e+00
2.40e-03,3.20e+00
2.42e-03,3.20e+00
2.44e-03,3.12e+00
2.46e-03,3.12e+00
2.48e-03,3.12e+00
2.50e-03,2.80e+00
2.52e-03,2.08e+00
2.54e-03,1.60e+00
2.56e-03,1.16e+00
2.58e-03,6.40e-01
2.60e-03,2.40e-01
2.62e-03,-7.99e-02
2.64e-03,-7.99e-02
2.66e-03,7.99e-02
2.68e-03,2.40e-01
2.70e-03,2.40e-01
2.72e-03,2.80e-01
2.74e-03,3.60e-01
2.76e-03,3.20e-01
2.78e-03,3.20e-01
2.80e-03,3.60e-01
2.82e-03,3.20e-01
2.84e-03,2.80e-01
2.86e-03,3.20e-01
2.88e-03,2.80e-01
2.90e-03,2.40e-01
2.92e-03,4.00e-01
2.94e-03,3.60e-01
2.96e-03,2.40e-01
2.98e-03,3.60e-01
3.00e-03,3.20e-01
3.02e-03,2.40e-01
3.04e-03,2.00e-01
3.06e-03,2.40e-01
3.08e-03,1.60e-01
3.10e-03,2.40e-01
3.12e-03,1.20e-01
3.14e-03,-3.60e-01
3.16e-03,-6.40e-01
3.18e-03,-8.00e-01
3.20e-03,-1.20e+00
3.22e-03,-1.24e+00
3.24e-03,-1.28e+00
3.26e-03,3.24e+00
3.28e-03,3.20e+00
3.30e-03,3.28e+00
3.32e-03,2.48e+00
3.34e-03,1.76e+00
3.36e-03,1.20e+00
3.38e-03,6.00e-01
3.40e-03,0.00e+00
3.42e-03,3.32e+00
3.44e-03,3.28e+00
3.46e-03,3.20e+00
3.48e-03,3.20e+00
3.50e-03,2.56e+00
3.52e-03,1.96e+00
3.54e-03,1.44e+00
